Station ID,Property/Business Name,Street Address,Hours of Operation,Charger Fee(per Hour),Latitude,Longitude,Location,Latitude.1,Longitude.1
841,The Kahana Gateway Shopping Center,4405 Honoapiilani Hwy.,00:00-23:59,$2.25,20.97192,-156.67813,"(20.97192, -156.67813)",,
311,Kahana Gateway,4405 Honoapiilani Hwy,00:00-23:59,$2,20.972149,-156.677334,"(20.972149, -156.677334)",,
325,Ritz Carlton Kapaalua(Currently Not on Service),1 Ritz-Carlton Drive,00:00-23:59,$0,20.9998264,-156.6551531,"(20.9998264, -156.6551531)",,
835,Kapiolani Community College Parking,4303 Diamond Head Rd,00:00-23:59,$2,21.27096,-157.79942,"(21.27096, -157.79942)",,
485,Honolulu Zoo Parking Lot (Currently DOWN),151 Kapahulu Avenue,06:00-23:59,$0,21.2716382,-157.8213834,"(21.2716382, -157.8213834)",,
897,Kahala Resort,5000 Kahala Ave,00:00-23:59,$3,21.27185,-157.77365,"(21.27185, -157.77365)",,
471,Waikiki Beach Marriott,2552 Kalakaua Avenue,00:00-23:59,$0,21.2728669,-157.8231051,"(21.2728669, -157.8231051)",,
831,Marriott Waikiki,2552 Kalakaua Avenue,00:00-23:59,$0,21.27314,-157.82263,"(21.27314, -157.82263)",,
497,Hilton Waikiki Beach,2500 Kuhio Ave,00:00-23:59,$0,21.275246,-157.821863,"(21.275246, -157.821863)",,
779,Rainbow Drive-in,3308 Kanaina Ave,09:00-20:00,$0,21.27596,-157.81454,"(21.27596, -157.81454)",,
439,Outrigger Waikiki,2335 Kalakaua Avenue,00:00-23:59,$0,21.2772136,-157.8272715,"(21.2772136, -157.8272715)",,
363,"Enterprise Rent-a-Car, Waikiki",151 Kaiulani St.,07:00-20:00,$2,21.2772166,-157.8247285,"(21.2772166, -157.8247285)",,
391,Kahala Mall,4211 Waialae Ave,10:00-21:00,$0,21.27739,-157.78607,"(21.27739, -157.78607)",,
639,Sheraton Princess Kaiulani,120 Kaiulani Avenue,00:00-23:59,$2.50,21.27765871,-157.8255907,"(21.2776587116, -157.8255906701)",,
431,Ohana Waikiki East,150 Kaiulani Avenue,00:00-23:59,$0,21.2778509,-157.825047,"(21.2778509, -157.825047)",,
533,Koko Marina Shopping Center,7192 Kalanianaole Hwy,09:00-21:00,$0,21.2778781,-157.7056172,"(21.2778781, -157.7056172)",,
449,Sheraton Waikiki,2255 Kalakaua Ave,00:00-23:59,$2,21.2780995,-157.8298294,"(21.2780995, -157.8298294)",,
575,Aina Haina Shopping Center,820-850 W Hind Drive,00:00-23:59,$2,21.27819,-157.75476,"(21.27819, -157.75476)",,
829,Holiday Inn Waikiki Beachcomber Resort - Broken,2300 Kalakaua Ave.,00:00-23:59,$0,21.27825,-157.82734,"(21.27825, -157.82734)",,
383,Holiday Inn Beachcomber,2300 Kalakaua Ave,00:00-23:59,$0,21.2782519,-157.827337,"(21.2782519, -157.827337)",,
869,International Market Place,2345 Kuhio Ave,00:00-23:59,$3,21.27829,-157.82549,"(21.27829, -157.82549)",,
473,Waikiki Parc Hotel & Halekulani Hotel,2233 Helumoa Rd,00:00-23:59,$0,21.2783056,-157.8307087,"(21.2783056, -157.8307087)",,
437,Outrigger Reef,2169 Kalia Road,00:00-23:59,$0,21.2786974,-157.8325599,"(21.2786974, -157.8325599)",,
475,Waikiki Sand Villa,2375 Ala Wai Blvd,00:00-23:59,$10,21.278842,-157.823158,"(21.278842, -157.823158)",,
